10.41B,Fabrication d'huiles et graisses raffinées,Fabrication d'huiles et graisses raffinées,Fab. d'huiles et graisses raffinées
10.42,Fabrication de margarine et graisses comestibles similaires,Fabrication de margarine et graisses comestibles similaires,Fab. de margarine & graisses similaires
10.42Z,Fabrication de margarine et graisses comestibles similaires,Fabrication de margarine et graisses comestibles similaires,Fab. de margarine & graisses similaires
10.5,Fabrication de produits laitiers,Fabrication de produits laitiers,Fabrication de produits laitiers
10.51,Exploitation de laiteries et fabrication de fromage,Exploitation de laiteries et fabrication de fromage,Expl. de laiteries et fabric. de fromage
10.51A,Fabrication de lait liquide et de produits frais,Fabrication de lait liquide et de produits frais,Fab. de lait liquide & de produits frais
10.51B,Fabrication de beurre,Fabrication de beurre,Fabrication de beurre
10.51C,Fabrication de fromage,Fabrication de fromage,Fabrication de fromage
10.51D,Fabrication d'autres produits laitiers,Fabrication d'autres produits laitiers,Fabrication d'autres produits laitiers
10.52,Fabrication de glaces et sorbets,Fabrication de glaces et sorbets,Fabrication de glaces et sorbets
10.52Z,Fabrication de glaces et sorbets,Fabrication de glaces et sorbets,Fabrication de glaces et sorbets
10.6,Travail des grains ; fabrication de produits amylacés,Travail des grains ; fabrication de produits amylacés,Travail des grains ; fab. prod. amylacé
10.61,Travail des grains,Travail des grains,Travail des grains
10.61A,Meunerie,Meunerie,Meunerie
10.61B,Autres activités du travail des grains,Autres activités du travail des grains,Autres activités du travail des grains
10.62,Fabrication de produits amylacés,Fabrication de produits amylacés,Fabrication de produits amylacés
10.62Z,Fabrication de produits amylacés,Fabrication de produits amylacés,Fabrication de produits amylacés
10.7,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,Fabrication produits boulangerie-pâtisserie & pâtes alimentaires,Fab. prod. boulangerie-pâtis. & pâtes 
10.71,Fabrication de pain et de pâtisserie fraîche,Fabrication de pain et de pâtisserie fraîche,Fab. de pain et de pâtisserie fraîche
10.71A,Fabrication industrielle de pain et de pâtisserie fraîche,Fabrication industrielle de pain et de pâtisserie fraîche,Fab. indus. de pain & pâtisserie fraîche
10.71B,Cuisson de produits de boulangerie,Cuisson de produits de boulangerie,Cuisson de produits de boulangerie
10.71C,Boulangerie et boulangerie-pâtisserie,Boulangerie et boulangerie-pâtisserie,Boulangerie et boulangerie-pâtisserie
10.71D,Pâtisserie,Pâtisserie,Pâtisserie
10.72,"Fabrication de biscuits, biscottes et pâtisseries de conservation","Fabrication de biscuits, biscottes et pâtisseries de conservation","Fab. pain, biscuit & pâtiss. de conserv."
10.72Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation","Fabrication de biscuits, biscottes et pâtisseries de conservation","Fab. pain, biscuit & pâtiss. de conserv."
10.73,Fabrication de pâtes alimentaires,Fabrication de pâtes alimentaires,Fabrication de pâtes alimentaires
10.73Z,Fabrication de pâtes alimentaires,Fabrication de pâtes alimentaires,Fabrication de pâtes alimentaires
10.8,Fabrication d'autres produits alimentaires,Fabrication d'autres produits alimentaires,Fabric. d'autres produits alimentaires
10.81,Fabrication de sucre,Fabrication de sucre,Fabrication de sucre
10.81Z,Fabrication de sucre,Fabrication de sucre,Fabrication de sucre
10.82,"Fabrication de cacao, chocolat et de produits de confiserie","Fabrication de cacao, chocolat et de produits de confiserie","Fabric. de cacao, chocolat & confiseries"
10.82Z,"Fabrication de cacao, chocolat et de produits de confiserie","Fabrication de cacao, chocolat et de produits de confiserie","Fabric. de cacao, chocolat & confiseries"
10.83,Transformation du thé et du café,Transformation du thé et du café,Transformation du thé et du café
10.83Z,Transformation du thé et du café,Transformation du thé et du café,Transformation du thé et du café
10.84,Fabrication de condiments et assaisonnements,Fabrication de condiments et assaisonnements,Fabric. de condiments et assaisonnements
10.84Z,Fabrication de condiments et assaisonnements,Fabrication de condiments et assaisonnements,Fabric. de condiments et assaisonnements
10.85,Fabrication de plats préparés,Fabrication de plats préparés,Fabrication de plats préparés
10.85Z,Fabrication de plats préparés,Fabrication de plats préparés,Fabrication de plats préparés
10.86,Fabrication d'aliments homogénéisés et diététiques,Fabrication d'aliments homogénéisés et diététiques,Fab. d'aliment homogénéisé & diététique
10.86Z,Fabrication d'aliments homogénéisés et diététiques,Fabrication d'aliments homogénéisés et diététiques,Fab. d'aliment homogénéisé & diététique
10.89,Fabrication d'autres produits alimentaires n.c.a.,Fabrication d'autres produits alimentaires n.c.a.,Fab. d'autres prod. alimentaires n.c.a.
10.89Z,Fabrication d'autres produits alimentaires n.c.a.,Fabrication d'autres produits alimentaires n.c.a.,Fab. d'autres prod. alimentaires n.c.a.
10.9,Fabrication d'aliments pour animaux,Fabrication d'aliments pour animaux,Fabrication d'aliments pour animaux
10.91,Fabrication d'aliments pour animaux de ferme,Fabrication d'aliments pour animaux de ferme,Fabric. d'aliments pour animaux de ferme
10.91Z,Fabrication d'aliments pour animaux de ferme,Fabrication d'aliments pour animaux de ferme,Fabric. d'aliments pour animaux de ferme
10.92,Fabrication d'aliments pour animaux de compagnie,Fabrication d'aliments pour animaux de compagnie,Fab. aliments pour animaux de compagnie
